date,incoming,outgoing
2013-03-31,70,6
2013-03-30,68,4
2013-03-29,137,19
2013-03-28,233,37
2013-03-27,296,49
2013-03-26,228,38
2013-03-25,317,69
2013-03-24,57,5
2013-03-23,43,17
2013-03-22,138,23
2013-03-21,157,30
2013-03-20,111,40
2013-03-19,75,5
2013-03-18,171,41
2013-03-17,60,1
2013-03-16,43,3
2013-03-15,123,24
2013-03-14,142,25
2013-03-13,121,20
2013-03-12,133,28
2013-03-11,187,40
2013-03-10,39,9
2013-03-09,51,8
2013-03-08,203,24
2013-03-07,218,25
2013-03-06,263,53
2013-03-05,197,24
2013-03-04,345,53
2013-03-03,105,8
2013-03-02,89,9
2013-03-01,288,54
2013-02-28,213,31
2013-02-27,219,11
2013-02-26,203,13
2013-02-25,342,44
2013-02-24,145,24
2013-02-23,124,23
2013-02-22,202,22
2013-02-21,253,35
2013-02-20,249,13
2013-02-19,300,37
2013-02-18,296,63
2013-02-17,107,8
2013-02-16,120,8
2013-02-15,221,26
2013-02-14,235,26
2013-02-13,308,34
2013-02-12,175,38
2013-02-11,119,22
2013-02-10,151,35
2013-02-09,79,18
2013-02-08,183,16
2013-02-07,334,35
2013-02-06,319,37
2013-02-05,336,23
2013-02-04,333,47
2013-02-03,175,11
2013-02-02,163,30
2013-02-01,273,32
2013-01-31,326,23
2013-01-30,398,41
2013-01-29,371,64
2013-01-28,295,28
2013-01-27,111,6
2013-01-26,109,0
2013-01-25,216,41
2013-01-24,217,20
2013-01-23,304,33
2013-01-22,208,18
2013-01-21,138,24
2013-01-20,129,15
2013-01-19,72,0
2013-01-18,210,25
2013-01-17,270,22
2013-01-16,265,26
2013-01-15,250,23
2013-01-14,199,29
2013-01-13,73,1
2013-01-12,32,8
2013-01-11,105,9
2013-01-10,138,20
2013-01-09,156,25
2013-01-08,170,27
2013-01-07,103,12
2013-01-06,31,9
2013-01-05,25,11
2013-01-04,75,19
2013-01-03,83,31
2013-01-02,36,3
2013-01-01,8,1
2012-12-31,23,9
2012-12-30,8,2
2012-12-29,10,1
2012-12-28,13,1
2012-12-27,11,2
2012-12-26,12,3
2012-12-25,8,2
2012-12-24,25,11
2012-12-23,30,3
2012-12-22,16,2
2012-12-21,68,6
2012-12-20,72,12
2012-12-19,89,10
2012-12-18,147,21
2012-12-17,211,42
2012-12-16,96,3
2012-12-15,59,7
2012-12-14,341,120
2012-12-13,327,27
2012-12-12,283,47
2012-12-11,247,22
2012-12-10,264,37
2012-12-09,92,12
2012-12-08,64,2
2012-12-07,261,30
2012-12-06,275,26
2012-12-05,258,14
2012-12-04,282,28
2012-12-03,272,24
2012-12-02,96,10
2012-12-01,127,14
2012-11-30,360,146
2012-11-29,266,33
2012-11-28,388,118
2012-11-27,257,38
2012-11-26,312,42
2012-11-25,130,16
2012-11-24,53,0
2012-11-23,39,4
2012-11-22,26,0
2012-11-21,103,1
2012-11-20,113,5
2012-11-19,234,64
2012-11-18,30,2
2012-11-17,30,0
2012-11-16,198,15
2012-11-15,249,39
2012-11-14,482,56
2012-11-13,206,7
2012-11-12,266,23
2012-11-11,115,17
2012-11-10,74,4
2012-11-09,167,10
2012-11-08,259,31
2012-11-07,244,38
2012-11-06,201,16
2012-11-05,255,23
2012-11-04,110,5
2012-11-03,73,2
2012-11-02,153,16
2012-11-01,262,35
2012-10-31,235,15
2012-10-30,136,15
2012-10-29,138,23
2012-10-28,76,4
2012-10-27,71,10
2012-10-26,107,15
2012-10-25,142,16
2012-10-24,136,16
2012-10-23,214,21
2012-10-22,297,48
2012-10-21,123,8
2012-10-20,72,4
2012-10-19,199,32
2012-10-18,219,21
2012-10-17,229,36
2012-10-16,250,20
2012-10-15,278,33
2012-10-14,131,7
2012-10-13,54,0
2012-10-12,201,12
2012-10-11,264,20
2012-10-10,243,33
2012-10-09,276,23
2012-10-08,372,32
2012-10-07,105,0
2012-10-06,63,1
2012-10-05,194,26
2012-10-04,307,21
2012-10-03,347,16
2012-10-02,316,53
2012-10-01,290,33
2012-09-30,156,21
2012-09-29,55,2
2012-09-28,190,18
2012-09-27,247,23
2012-09-26,325,44
2012-09-25,237,17
2012-09-24,328,48
2012-09-23,161,25
2012-09-22,67,2
2012-09-21,293,28
2012-09-20,288,48
2012-09-19,259,29
2012-09-18,327,23
2012-09-17,296,35
2012-09-16,124,12
2012-09-15,73,1
2012-09-14,291,20
2012-09-13,298,24
2012-09-12,333,36
2012-09-11,330,12
2012-09-10,324,34
2012-09-09,130,7
2012-09-08,104,0
2012-09-07,379,49
2012-09-06,396,37
2012-09-05,321,51
2012-09-04,384,38
2012-09-03,149,1
2012-09-02,197,18
2012-09-01,124,3
2012-08-31,277,42
2012-08-30,450,51
2012-08-29,271,16
2012-08-28,402,32
2012-08-27,319,17
2012-08-26,66,9
2012-08-25,171,23
2012-08-24,185,30
2012-08-23,109,7
2012-08-22,111,16
2012-08-21,217,18
2012-08-20,201,18
2012-08-19,22,12
2012-08-18,38,12
2012-08-17,96,32
2012-08-16,93,21
2012-08-15,106,37
2012-08-14,91,28
2012-08-13,95,30
2012-08-12,30,2
2012-08-11,28,2
2012-08-10,59,2
2012-08-09,71,11
2012-08-08,52,2
2012-08-07,79,7
2012-08-06,82,9
2012-08-05,37,10
2012-08-04,29,7
2012-08-03,56,4
2012-08-02,30,4
2012-08-01,65,7
2012-07-31,89,7
2012-07-30,70,12
2012-07-29,39,7
2012-07-28,18,2
2012-07-27,106,28
2012-07-26,105,19
2012-07-25,156,58
2012-07-24,117,39
2012-07-23,147,34
2012-07-22,23,4
2012-07-21,41,2
2012-07-20,76,7
2012-07-19,109,16
2012-07-18,90,8
2012-07-17,94,17
2012-07-16,73,10
2012-07-15,38,5
2012-07-14,64,9
2012-07-13,88,7
2012-07-12,110,21
2012-07-11,131,18
2012-07-10,96,10
2012-07-09,87,9
2012-07-08,84,1
2012-07-07,40,11
2012-07-06,74,7
2012-07-05,59,0
2012-07-04,15,1
2012-07-03,35,1
2012-07-02,27,1
2012-07-01,4,0
2012-06-30,10,1
2012-06-29,12,1
2012-06-28,17,3
2012-06-27,13,1
2012-06-26,19,1
2012-06-25,18,2
2012-06-24,2,0
2012-06-23,1,0
2012-06-22,7,2
2012-06-21,18,2
2012-06-20,20,1
2012-06-19,22,5
2012-06-18,16,5
2012-06-17,0,0
2012-06-16,9,0
2012-06-15,21,3
2012-06-14,21,5
2012-06-13,25,1
2012-06-12,13,2
2012-06-11,15,1
2012-06-10,2,0
2012-06-09,2,0
2012-06-08,8,0
2012-06-07,11,2
2012-06-06,23,6
2012-06-05,46,2
